Cod Refer,ECF
11111,1.01.01.01
11121,1.01.01.02
11122,1.01.01.02
11131,1.01.01.03
11132,1.01.01.03
11137,1.01.01.03
11151,1.01.01.04
11152,1.01.01.04
1121111,1.01.02.01
1121112,1.01.02.01
1121121,1.01.02.01
1121122,1.01.02.01
112119,1.01.02.01
1121211,1.01.02.02
1121212,1.01.02.02
1121221,1.01.02.02
1121222,1.01.02.02
112129,1.01.02.02
1122111,1.01.02.01
1122112,1.01.02.01
1122121,1.01.02.01
1122122,1.01.02.01
1122131,1.01.02.01
1122132,1.01.02.01
1122181,1.01.02.01
1122182,1.01.02.01
112219,1.01.02.01
1122211,1.01.02.02
1122212,1.01.02.02
1122221,1.01.02.02
1122222,1.01.02.02
1122231,1.01.02.02
1122232,1.01.02.02
1122281,1.01.02.01
1122282,1.01.02.01
112229,1.01.02.01
1123111,1.01.02.03
1123112,1.01.02.03
1123121,1.01.02.03
1123122,1.01.02.03
1123131,1.01.02.03
1123133,1.01.02.03
1123135,1.01.02.03
1123181,1.01.02.03
1123182,1.01.02.03
112319,1.01.02.03
1123211,1.01.02.04
1123212,1.01.02.04
1123221,1.01.02.04
1123222,1.01.02.04
1123231,1.01.02.04
1123233,1.01.02.04
1123235,1.01.02.04
1123281,1.01.02.04
1123282,1.01.02.04
112329,1.01.02.04
11261111,1.01.02.05
11261112,1.01.02.05
11261121,1.01.02.05
11261122,1.01.02.05
11261131,1.01.02.05
11261132,1.01.02.05
1126121,1.01.02.05
1126122,1.01.02.05
11262111,1.01.02.06
11262112,1.01.02.06
11262121,1.01.02.06
11262122,1.01.02.06
11262131,1.01.02.06
11262132,1.01.02.06
1126221,1.01.02.06
1126222,1.01.02.06
112711,1.01.02.07
112712,1.01.02.07
112719,1.01.02.07
112721,1.01.02.08
112722,1.01.02.08
112729,1.01.02.08
1128181,1.01.02.09
1128182,1.01.02.09
1128189,1.01.02.09
112821,1.01.02.10
112822,1.01.02.10
1128281,1.01.02.10
1128282,1.01.02.10
1128289,1.01.02.10
113111,1.01.03.01
113113,1.01.03.01
113121,1.01.03.01
113123,1.01.03.01
11315,1.01.03.01
113161,1.01.03.03
113162,1.01.03.03
113163,1.01.03.03
11319,1.01.03.03
113211,1.01.03.01
113218,1.01.03.01
113221,1.01.03.01
113223,1.01.03.01
113224,1.01.03.01
113225,1.01.03.01
113228,1.01.03.01
1132311,1.01.03.03
1132312,1.01.03.03
1132321,1.01.03.03
1132322,1.01.03.03
1132331,1.01.03.03
1132332,1.01.03.03
113234,1.01.03.03
113235,1.01.03.03
113238,1.01.03.03
11328,1.01.03.03
11329,
11331,1.01.03.03
11339,1.01.03.03
11341111,1.01.03.03
1134142,1.01.03.03
113418,1.01.03.03
11342111,1.01.03.03
1134242,1.01.03.03
113428,1.01.03.03
11343111,1.01.03.03
11343121,1.01.03.03
11343122,1.01.03.03
11343131,1.01.03.03
11343132,1.01.03.03
1134342,1.01.03.03
113438,1.01.03.03
11349,1.01.03.03
11351,1.01.03.04
11352,1.01.03.04
11353,1.01.03.04
11354,1.01.03.04
11358,1.01.03.04
11359,1.01.03.04
1136111,1.01.03.04
1136112,1.01.03.04
1136113,1.01.03.04
1136121,1.01.03.04
1136122,1.01.03.04
1136123,1.01.03.04
1136181,1.01.03.04
1136182,1.01.03.04
1136183,1.01.03.04
113619,
1136211,1.01.03.04
1136212,1.01.03.04
1136218,1.01.03.04
1136221,1.01.03.04
1136222,1.01.03.04
1136228,1.01.03.04
113627,1.01.03.04
1136281,1.01.03.04
1136282,1.01.03.04
1136288,1.01.03.04
113629,1.01.03.04
113711,1.01.03.05
113712,1.01.03.05
113713,1.01.03.05
113721,1.01.03.05
113722,1.01.03.05
113723,1.01.03.05
113781,1.01.03.05
113782,1.01.03.05
113783,1.01.03.05
11379,1.01.03.05
11381,1.01.03.06
11383,1.01.03.06
11384,1.01.03.06
11386,1.01.03.06
113871,1.01.03.06
113872,1.01.03.06
113873,1.01.03.06
113878,1.01.03.06
11388,1.01.03.06
11389,1.01.03.06
11411,1.01.04.08
11412,1.01.04.08
11413,1.01.04.08
11414,1.01.04.08
11417,1.01.04.08
11418,1.01.04.08
11419,1.01.04.08
11421,1.01.04.08
11422,1.01.04.08
11428,1.01.04.08
11429,1.01.04.08
11431,1.01.04.08
11432,1.01.04.08
11433,1.01.04.08
11435,1.01.04.08
11439,
114411,1.01.04.01
114412,1.01.04.01
114413,1.01.04.01
114414,1.01.04.01
114415,1.01.04.01
114416,1.01.04.01
114421,1.01.04.02
114422,1.01.04.02
114423,1.01.04.02
114425,1.01.04.02
114426,1.01.04.02
114441,1.01.04.03
114442,1.01.04.03
114443,1.01.04.03
114451,1.01.04.04
114453,1.01.04.05
11448,1.01.04.06
11449,1.01.04.08
11451,1.01.04.08
11452,1.01.04.08
11453,1.01.04.08
11458,1.01.04.08
11461,1.01.04.08
11462,1.01.04.08
11468,1.01.04.08
11471,1.01.04.07
11472,1.01.04.07
11473,1.01.04.07
11474,1.01.04.07
11475,1.01.04.07
11476,1.01.04.07
11477,1.01.04.07
11478,
11481,1.01.04.08
11488,1.01.04.08
11489,1.01.04.08
11491,1.01.04.08
11492,1.01.04.08
11493,1.01.04.08
11494,1.01.04.08
11498,1.01.04.08
11499,1.01.04.08
11511,1.01.05.01
11512,1.01.05.01
11513,1.01.05.01
11518,1.01.05.01
11519,1.01.05.01
11521,1.01.05.01
11529,1.01.05.01
11531,1.01.05.01
11539,1.01.05.01
11541,1.01.05.01
11549,1.01.05.01
11551,1.01.05.01
11559,1.01.05.01
11581,1.01.05.01
11589,1.01.05.01
11611,1.01.05.02
116121,1.01.05.02
116122,1.01.05.02
11619,1.01.05.02
11711,1.01.05.03
11721,1.01.05.03
118111,1.01.05.04
118112,1.01.05.04
1181141,1.01.05.04
1181142,1.01.05.04
1181143,1.01.05.04
118115,1.01.05.04
118116,1.01.05.04
118118,1.01.05.04
118123,1.01.05.04
118124,1.01.05.04
118131,1.01.05.04
118132,1.01.05.04
1181411,1.01.05.04
1181421,1.01.05.04
1181481,1.01.05.04
118211,1.01.05.04
118212,1.01.05.04
1182141,1.01.05.04
1182142,1.01.05.04
1182143,1.01.05.04
118215,1.01.05.04
118216,1.01.05.04
118218,1.01.05.04
118223,1.01.05.04
118224,1.01.05.04
118231,1.01.05.04
118232,1.01.05.04
1182411,1.01.05.04
1182421,1.01.05.04
1182481,1.01.05.04
119111,1.01.05.04
119112,1.01.05.04
11912,1.01.05.04
11915,1.01.05.04
1192111,1.01.05.04
1192112,1.01.05.04
1192121,1.01.05.04
1192122,1.01.05.04
119221,1.01.05.04
119222,1.01.05.04
11925,1.01.05.04
11926,1.01.05.04
119311,1.01.05.04
119312,1.01.05.04
11932,1.01.05.04
11934,1.01.05.04
119411,1.01.05.04
119412,1.01.05.04
11942,1.01.05.04
11944,1.01.05.04
1198,1.01.05.04
1199,1.01.05.04
12111111,1.02.01.01
12111112,1.02.01.01
12111121,1.02.01.01
12111122,1.02.01.01
1211119,1.02.01.01
12111211,1.02.01.02
12111212,1.02.01.02
12111221,1.02.01.02
12111222,1.02.01.02
1211129,1.02.01.02
12112111,1.02.01.01
12112112,1.02.01.01
12112121,1.02.01.01
12112122,1.02.01.01
12112131,1.02.01.01
12112132,1.02.01.01
12112141,1.02.01.01
12112142,1.02.01.01
1211219,1.02.01.01
12112211,1.02.01.02
12112212,1.02.01.02
12112221,1.02.01.02
